Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
winter-no-5-necklace-set,Winter No. 5 | Necklace Set,"<p>Hand picked by Jazlyn. These necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Rose Dish Charm, 18 inches<br>- Large Georgia Necklace, 16 inches<br>- Small silver and aqua necklace, 14 inches</p>
<p><br></p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,1,deny,manual,135,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/set4.jpg?v=1580232783,1,,FALSE,,,,,,,,,,,,,,,,,lb,,40
winter-no-4-necklace-set,Winter No. 4 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Pearl Choker, 14 inches<br>- Revolver Vintage Dish Charm on Navajo Beads, 15 inches<br>- Candy Land Bauble Necklace, 20 inches</p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,1,deny,manual,700,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/set1.jpg?v=1580232559,1,,FALSE,,,,,,,,,,,,,,,,,lb,,200
winter-no-4-necklace-set,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/set11.jpg?v=1580232559,2,,,,,,,,,,,,,,,,,,,,,
winter-no-3-necklace-set,Winter No. 3 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Turquoise Stone Necklace, <span>1</span><span>8</span><span> inches with extender</span><br>- Multi Stone Necklace, 18 inches with extender <br>- Vintage Dish Charm, 20 inches<br>- Snow Bauble Necklace with Pearl, 26 inches</p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,1,deny,manual,375,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC06084_1.jpg?v=1579614402,1,,FALSE,,,,,,,,,,,,,,,,,lb,,120
winter-no-2-necklace-set,Winter No. 2 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Pearl Choker, 14 Inches<br>- Silver and Olive Charm Necklace, 18 inches<br>- Vintage Dish Charm, 20 inches<br>- Snow Bauble Necklace, 24 inches</p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,1,deny,manual,335,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC06067_1.jpg?v=1579614373,1,,FALSE,,,,,,,,,,,,,,,,,lb,,120
winter-no-1-necklace-set,Winter No. 1 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Three Strand Turquoise, 16 Inches<br>- Silver Strand Necklace, 16 inches<br>- Vintage Dish Charm, 18 inches</p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,1,deny,manual,295,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC05854_1.jpg?v=1579614221,1,,FALSE,,,,,,,,,,,,,,,,,lb,,120
winter-no-1-necklace-set,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC05865_1.jpg?v=1579614221,2,,,,,,,,,,,,,,,,,,,,,
holiday-no-11-necklace-set,Holiday No. 11 | Necklace Set,"<p>Hand picked by Jazlyn. These three necklaces layer beautifully together. </p>
<p>Included in the set:</p>
<p>- Vintage Blue Dish Charm <br>- Small Silver and Olive Necklace <br>- Silver Arrow Choker </p>
<p>This Necklace set comes Gift Wrapped.</p>
<p> </p>
<p> </p>
<p> </p>",Goldie Lew,Necklaces,,TRUE,Title,Default Title,,,,,,91,shopify,1,deny,manual,84,120,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/11.jpg?v=1579291784,1,,FALSE,,,,,,,,,,,,,,,,,lb,,40
vintage-dish-blue-no-5,Vintage Dish | Blue No. 5,Beautiful blue vintage dishes that have been hand cut and set into sterling silver. On a 18 inch sterling silver chain.,Goldie Lew,Necklaces,,TRUE,Size,18 Inch,,,,,,45,shopify,0,deny,manual,49,70,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/005.jpg?v=1576688544,1,,FALSE,,,,,,,,,,,,,,,,,lb,,33
vintage-dish-blue-no-4,Vintage Dish | Blue No. 4,Beautiful blue vintage dishes that have been hand cut and set into sterling silver. On a 18 inch pearl and silver chain.,Goldie Lew,Necklaces,,TRUE,Size,18 Inch,,,,,,45,shopify,0,deny,manual,90,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/004.jpg?v=1576687710,1,,FALSE,,,,,,,,,,,,,,,,,lb,,33
