Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
white-leopard-skirt,,,,,,,,Medium,,,,,,227,shopify,1,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC09952_dee2a9af-c2fb-44d6-b2cc-7823fb52dd6d.jpg?v=1572363827,2,,,,,,,,,,,,,,,,,,,lb,,20
white-leopard-skirt,,,,,,,,Large,,,,,,227,shopify,2,deny,manual,49,49,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,20
wild-thing-skirt,Wild Thing Skirt,"<p>Show your wild side! This leopard print skirt can be dressed up with a blouse or more casual with a graphic tee!</p>
<p>Jazlyn is 5 feet tall and wearing a size small.</p>",Goldie Lew,Clothes,,TRUE,Size,Small,,,,,,227,shopify,1,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC09599.jpg?v=1572363757,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
wild-thing-skirt,,,,,,,,Medium,,,,,,227,shopify,3,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC09547.jpg?v=1572363757,2,,,,,,,,,,,,,,,,,,,lb,,20
wild-thing-skirt,,,,,,,,Large,,,,,,227,shopify,1,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC09952.jpg?v=1572363757,3,,,,,,,,,,,,,,,,,,,lb,,20
rajah-skirt,Rajah Skirt,"<p>Show your wild side! This tiger print skirt can be dressed up with a blouse or more casual with a graphic tee!</p>
<p>Jazlyn is 5 feet tall and wearing a size small.</p>",Goldie Lew,Clothes,,TRUE,Size,Small,,,,,,227,shopify,1,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC00398.jpg?v=1572363647,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
rajah-skirt,,,,,,,,Medium,,,,,,227,shopify,2,deny,manual,49,49,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,20
rajah-skirt,,,,,,,,Large,,,,,,227,shopify,3,deny,manual,49,49,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,20
leo-skirt,Leo Skirt,"<meta charset=""utf-8"">
<p>Show your wild side! This black<span> </span>leopard skirt can be dressed up with a blouse or more casual with a graphic tee!</p>
<p>Jazlyn is 5 feet tall and wearing a size small.</p>",Goldie Lew,Clothes,,TRUE,Size,Small,,,,,,318,shopify,0,deny,manual,44,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/IMG_8084.jpg?v=1571731855,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
leo-skirt,,,,,,,,Medium,,,,,,318,shopify,0,deny,manual,44,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/IMG_8092.jpg?v=1571731855,2,,,,,,,,,,,,,,,,,,,lb,,20
leo-skirt,,,,,,,,Large,,,,,,318,shopify,0,deny,manual,44,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/IMG_8087.jpg?v=1571731855,3,,,,,,,,,,,,,,,,,,,lb,,20
kaa-skirt,Kaa Skirt,"<p>Show your wild side! This snake skin pencil skirt can be dressed up with a blouse or more casual with a graphic tee!</p>
<p>Jazlyn is 5 feet tall and wearing a size small.</p>",Goldie Lew,Clothes,,TRUE,Size,Small,,,,,,227,shopify,0,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC06306.jpg?v=1571731851,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
kaa-skirt,,,,,,,,Medium,,,,,,227,shopify,4,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC06127.jpg?v=1571731851,2,,,,,,,,,,,,,,,,,,,lb,,20
kaa-skirt,,,,,,,,Large,,,,,,227,shopify,2,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC06429.jpg?v=1571731851,3,,,,,,,,,,,,,,,,,,,lb,,20
shere-khan-skirt,Shere Khan Skirt,"<p>Show your wild side! This tiger print A-line ruffle skirt can be dressed up with a blouse or more casual with a graphic tee!</p>
<p>Jazlyn is 5 feet tall and wearing a size small.</p>",Goldie Lew,Clothes,,TRUE,Size,Small,,,,,,227,shopify,0,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC05983.jpg?v=1571731851,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
shere-khan-skirt,,,,,,,,Medium,,,,,,227,shopify,5,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC05989.jpg?v=1571731851,2,,,,,,,,,,,,,,,,,,,lb,,20
shere-khan-skirt,,,,,,,,Large,,,,,,227,shopify,0,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC05947.jpg?v=1571731851,3,,,,,,,,,,,,,,,,,,,lb,,20
